MEP_name,MEP_id,national_party,national_party_id,EU_parliament_group,EU_parliament_group_id,EU_electoral_district,EU_electoral_district_id,elected_in_country,elected_in_country_id,start_date,end_date,parliamentary_term,parliamentary_term_id
Werner Langen,http://www.wikidata.org/entity/Q85545,Christian Democratic Union,http://www.wikidata.org/entity/Q49762,European People's Party group,http://www.wikidata.org/entity/Q635616,Germany,http://www.wikidata.org/entity/Q1350565,Germany,http://www.wikidata.org/entity/Q183,1999-07-20,2004-07-19,Fifth European Parliament,http://www.wikidata.org/entity/Q16836722
Werner Langen,http://www.wikidata.org/entity/Q85545,Christian Democratic Union,http://www.wikidata.org/entity/Q49762,European People's Party group,http://www.wikidata.org/entity/Q635616,Germany,http://www.wikidata.org/entity/Q1350565,Germany,http://www.wikidata.org/entity/Q183,2014-05-25,,Eighth European Parliament,http://www.wikidata.org/entity/Q17315694
Werner Langen,http://www.wikidata.org/entity/Q85545,Christian Democratic Union,http://www.wikidata.org/entity/Q49762,European People's Party group,http://www.wikidata.org/entity/Q635616,Germany,http://www.wikidata.org/entity/Q1350565,Germany,http://www.wikidata.org/entity/Q183,2009-07-14,2014-06-30,Seventh European Parliament,http://www.wikidata.org/entity/Q4644021
Werner Langen,http://www.wikidata.org/entity/Q85545,Christian Democratic Union,http://www.wikidata.org/entity/Q49762,European People's Party group,http://www.wikidata.org/entity/Q635616,Germany,http://www.wikidata.org/entity/Q1350565,Germany,http://www.wikidata.org/entity/Q183,2004-07-20,2009-07-13,Sixth European Parliament,http://www.wikidata.org/entity/Q4642661
Werner Langen,http://www.wikidata.org/entity/Q85545,Christian Democratic Union,http://www.wikidata.org/entity/Q49762,European People's Party group,http://www.wikidata.org/entity/Q635616,Germany,http://www.wikidata.org/entity/Q1350565,Germany,http://www.wikidata.org/entity/Q183,1994-07-19,1999-07-19,Fourth European Parliament,http://www.wikidata.org/entity/Q17315706
Ruth Hieronymi,http://www.wikidata.org/entity/Q85569,Christian Democratic Union,http://www.wikidata.org/entity/Q49762,European People's Party group,http://www.wikidata.org/entity/Q635616,Germany,http://www.wikidata.org/entity/Q1350565,Germany,http://www.wikidata.org/entity/Q183,1999-07-20,2004-07-19,Fifth European Parliament,http://www.wikidata.org/entity/Q16836722
Ruth Hieronymi,http://www.wikidata.org/entity/Q85569,Christian Democratic Union,http://www.wikidata.org/entity/Q49762,European People's Party group,http://www.wikidata.org/entity/Q635616,Germany,http://www.wikidata.org/entity/Q1350565,Germany,http://www.wikidata.org/entity/Q183,2004-07-20,2009-07-13,Sixth European Parliament,http://www.wikidata.org/entity/Q4642661
Kurt Joachim Lauk,http://www.wikidata.org/entity/Q85671,Christian Democratic Union,http://www.wikidata.org/entity/Q49762,European People's Party group,http://www.wikidata.org/entity/Q635616,Germany,http://www.wikidata.org/entity/Q1350565,Germany,http://www.wikidata.org/entity/Q183,2004-07-20,2009-07-13,Sixth European Parliament,http://www.wikidata.org/entity/Q4642661
Ulrike Lunacek,http://www.wikidata.org/entity/Q89398,Die Grünen,http://www.wikidata.org/entity/Q193178,The Greens–European Free Alliance,http://www.wikidata.org/entity/Q751935,Austria,http://www.wikidata.org/entity/Q4825411,Austria,http://www.wikidata.org/entity/Q40,2014-07-01,2017-11-08,Eighth European Parliament,http://www.wikidata.org/entity/Q17315694
Ulrike Lunacek,http://www.wikidata.org/entity/Q89398,Die Grünen,http://www.wikidata.org/entity/Q193178,The Greens–European Free Alliance,http://www.wikidata.org/entity/Q751935,Austria,http://www.wikidata.org/entity/Q4825411,Austria,http://www.wikidata.org/entity/Q40,2009-07-14,2014-06-30,Seventh European Parliament,http://www.wikidata.org/entity/Q4644021
Heinrich Aigner,http://www.wikidata.org/entity/Q90026,Christian Social Union of Bavaria,http://www.wikidata.org/entity/Q49763,European People's Party group,http://www.wikidata.org/entity/Q635616,Germany,http://www.wikidata.org/entity/Q1350565,Germany,http://www.wikidata.org/entity/Q183,1979-07-17,1984-07-23,First European Parliament,http://www.wikidata.org/entity/Q17315702
